URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
107178,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
126705,20,10,15,0,SUPP,0,0,0,0,0,0,0,0,SUPP,0,88%,81%,0%,SUPP,0%,0%,0%,0%,0%,0%,0%,0%,SUPP,0%
126712,20,20,10,0,5,0,0,0,0,SUPP,0,0,0,SUPP,SUPP,84%,58%,0%,16%,0%,0%,0%,0%,SUPP,0%,0%,0%,SUPP,SUPP
135287,30,30,15,0,0,0,0,0,0,15,0,0,0,0,0,100%,53%,0%,0%,0%,0%,0%,0%,47%,0%,0%,0%,0%,0%
107350,260,220,75,0,15,125,SUPP,0,0,0,20,0,5,30,10,85%,29%,0%,6%,48%,SUPP,0%,0%,0%,8%,0%,1%,11%,4%
137576,150,130,55,SUPP,5,65,0,0,0,SUPP,SUPP,0,0,10,10,88%,39%,SUPP,3%,45%,0%,0%,0%,SUPP,SUPP,0%,0%,6%,5%
138566,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
107361,90,80,20,SUPP,SUPP,50,0,0,SUPP,0,SUPP,0,SUPP,5,10,86%,21%,SUPP,SUPP,60%,0%,0%,SUPP,0%,SUPP,0%,SUPP,5%,9%
107366,260,210,50,SUPP,15,150,SUPP,0,0,0,10,0,SUPP,30,20,81%,18%,SUPP,5%,56%,SUPP,0%,0%,0%,3%,0%,SUPP,11%,8%
138087,170,160,20,0,5,135,0,0,0,0,5,0,5,5,5,94%,12%,0%,2%,78%,0%,0%,0%,0%,4%,0%,2%,4%,2%
139975,270,240,80,0,SUPP,160,0,0,0,0,10,0,SUPP,20,5,91%,30%,0%,SUPP,61%,0%,0%,0%,0%,4%,0%,SUPP,8%,2%
107391,190,170,70,0,10,85,5,0,0,SUPP,15,0,0,10,5,91%,39%,0%,4%,46%,2%,0%,0%,SUPP,7%,0%,0%,6%,3%
107395,240,210,100,SUPP,10,95,SUPP,0,0,SUPP,15,0,SUPP,20,10,87%,41%,SUPP,3%,41%,SUPP,0%,0%,SUPP,5%,0%,SUPP,8%,5%
107413,230,190,45,0,5,140,0,0,0,0,SUPP,0,SUPP,20,10,85%,21%,0%,2%,62%,0%,0%,0%,0%,SUPP,0%,SUPP,10%,5%
139982,300,270,50,0,10,200,0,0,0,0,5,0,5,25,10,89%,17%,0%,3%,68%,0%,0%,0%,0%,1%,0%,2%,8%,3%
132217,180,160,70,5,5,80,SUPP,0,0,0,10,0,SUPP,10,5,92%,41%,2%,2%,46%,SUPP,0%,0%,0%,5%,0%,SUPP,6%,2%
136905,240,240,75,SUPP,5,155,SUPP,0,0,0,10,0,0,5,SUPP,98%,30%,SUPP,2%,64%,SUPP,0%,0%,0%,4%,0%,0%,2%,SUPP
107428,150,140,55,0,5,75,SUPP,0,0,0,10,0,0,10,5,92%,38%,0%,4%,50%,SUPP,0%,0%,0%,7%,0%,0%,6%,2%
136962,100,90,15,SUPP,SUPP,75,0,0,0,0,5,0,0,SUPP,5,95%,14%,SUPP,SUPP,78%,0%,0%,0%,0%,3%,0%,0%,SUPP,4%
132219,220,190,50,0,10,125,SUPP,0,0,0,10,0,SUPP,25,5,86%,22%,0%,4%,59%,SUPP,0%,0%,0%,5%,0%,SUPP,11%,3%
107439,300,280,105,SUPP,5,165,0,0,0,0,10,0,0,20,5,92%,34%,SUPP,2%,56%,0%,0%,0%,0%,4%,0%,0%,6%,2%
107440,290,250,90,SUPP,10,145,SUPP,0,SUPP,0,20,0,5,25,10,88%,31%,SUPP,4%,50%,SUPP,0%,SUPP,0%,7%,0%,1%,9%,4%
107441,320,280,115,0,10,150,0,0,0,0,20,0,SUPP,30,10,87%,36%,0%,3%,47%,0%,0%,0%,0%,6%,0%,SUPP,9%,4%
107442,240,210,85,0,10,105,5,0,SUPP,0,15,0,SUPP,20,15,86%,36%,0%,3%,44%,1%,0%,SUPP,0%,7%,0%,SUPP,7%,7%
107443,180,160,65,0,5,95,0,0,0,0,5,0,SUPP,10,5,91%,36%,0%,2%,53%,0%,0%,0%,0%,2%,0%,SUPP,6%,3%
130909,160,160,25,SUPP,5,120,5,0,0,0,5,0,SUPP,5,5,95%,16%,SUPP,3%,72%,3%,0%,0%,0%,4%,0%,SUPP,3%,2%
135367,190,170,35,0,5,120,SUPP,0,0,0,5,0,0,15,5,88%,19%,0%,4%,65%,SUPP,0%,0%,0%,4%,0%,0%,8%,4%
135865,70,60,20,0,5,25,5,0,0,0,5,0,0,10,5,81%,29%,0%,7%,39%,6%,0%,0%,0%,7%,0%,0%,12%,7%
135866,190,170,55,0,5,115,0,0,0,0,SUPP,0,0,15,5,89%,28%,0%,2%,60%,0%,0%,0%,0%,SUPP,0%,0%,8%,3%
136198,90,80,30,0,SUPP,45,0,0,0,SUPP,SUPP,0,0,10,5,81%,30%,0%,SUPP,47%,0%,0%,0%,SUPP,SUPP,0%,0%,12%,8%
135229,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
139978,20,20,0,0,0,0,0,0,0,20,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
139977,20,20,0,0,0,0,0,0,0,15,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
135861,10,10,0,0,0,0,0,0,0,10,0,0,0,0,SUPP,89%,0%,0%,0%,0%,0%,0%,0%,89%,0%,0%,0%,0%,SUPP
107561,90,70,40,0,5,20,5,0,0,SUPP,5,0,0,10,10,78%,43%,0%,5%,23%,5%,0%,0%,SUPP,8%,0%,0%,13%,9%
107562,220,210,65,0,10,85,45,0,0,SUPP,10,0,SUPP,10,SUPP,95%,29%,0%,4%,39%,21%,0%,0%,SUPP,5%,0%,SUPP,5%,SUPP
107563,170,160,45,0,SUPP,90,15,0,0,0,5,0,SUPP,10,5,91%,26%,0%,SUPP,53%,10%,0%,0%,0%,2%,0%,SUPP,7%,2%
107564,120,110,25,0,SUPP,75,10,0,0,SUPP,5,0,0,5,5,89%,22%,0%,SUPP,59%,7%,0%,0%,SUPP,6%,0%,0%,6%,5%
140326,150,140,60,0,SUPP,65,10,0,0,0,SUPP,0,0,10,5,93%,42%,0%,SUPP,43%,7%,0%,0%,0%,SUPP,0%,0%,5%,2%
136788,160,160,5,SUPP,SUPP,135,15,0,0,0,0,0,0,5,0,98%,3%,SUPP,SUPP,85%,9%,0%,0%,0%,0%,0%,0%,2%,0%
139182,150,150,0,0,0,120,30,0,0,0,SUPP,0,SUPP,SUPP,0,99%,0%,0%,0%,80%,19%,0%,0%,0%,SUPP,0%,SUPP,SUPP,0%
137444,240,220,35,SUPP,5,125,55,0,0,0,20,0,0,15,5,91%,15%,SUPP,3%,51%,22%,0%,0%,0%,8%,0%,0%,7%,2%
137036,230,220,65,SUPP,5,135,15,0,0,0,25,0,SUPP,5,10,94%,27%,SUPP,3%,57%,6%,0%,0%,0%,10%,0%,SUPP,3%,4%
137521,280,260,75,0,10,130,35,0,0,SUPP,40,0,SUPP,15,5,92%,27%,0%,4%,47%,13%,0%,0%,SUPP,14%,0%,SUPP,6%,3%
136604,210,200,40,0,5,135,20,0,0,0,10,0,0,5,5,95%,20%,0%,2%,65%,9%,0%,0%,0%,6%,0%,0%,3%,2%
141307,240,220,65,0,5,110,40,0,0,SUPP,25,0,5,15,SUPP,94%,26%,0%,3%,46%,16%,0%,0%,SUPP,10%,0%,2%,5%,SUPP
136094,180,160,35,0,5,105,20,0,0,0,5,0,SUPP,15,5,89%,20%,0%,2%,57%,10%,0%,0%,0%,3%,0%,SUPP,7%,4%
107589,10,10,SUPP,0,SUPP,0,0,0,0,SUPP,0,0,0,0,SUPP,83%,SUPP,0%,SUPP,0%,0%,0%,0%,SUPP,0%,0%,0%,0%,SUPP
107588,20,20,0,0,0,SUPP,0,0,0,15,0,0,0,0,0,100%,0%,0%,0%,SUPP,0%,0%,0%,94%,0%,0%,0%,0%,0%
138706,170,160,45,SUPP,SUPP,SUPP,115,0,0,0,5,0,0,5,5,94%,25%,SUPP,SUPP,SUPP,66%,0%,0%,0%,3%,0%,0%,3%,3%
107755,160,150,55,SUPP,5,SUPP,90,0,0,0,5,0,0,10,5,93%,34%,SUPP,2%,SUPP,56%,0%,0%,0%,4%,0%,0%,6%,2%
107756,70,60,35,0,SUPP,10,15,0,0,0,SUPP,0,0,5,5,89%,51%,0%,SUPP,13%,23%,0%,0%,0%,SUPP,0%,0%,7%,4%
137869,270,260,45,0,15,SUPP,195,0,0,0,30,0,0,10,SUPP,96%,18%,0%,5%,SUPP,73%,0%,0%,0%,12%,0%,0%,3%,SUPP
107758,100,90,25,SUPP,5,0,65,0,0,0,10,0,0,5,SUPP,91%,26%,SUPP,3%,0%,61%,0%,0%,0%,9%,0%,0%,7%,SUPP
137500,150,140,50,SUPP,0,SUPP,80,0,0,0,0,0,0,5,5,93%,36%,SUPP,0%,SUPP,56%,0%,0%,0%,0%,0%,0%,2%,5%
107761,100,90,40,0,SUPP,0,45,0,0,0,10,0,0,5,5,92%,42%,0%,SUPP,0%,48%,0%,0%,0%,8%,0%,0%,5%,3%
107763,260,250,50,SUPP,5,SUPP,190,0,0,0,20,0,0,5,5,95%,18%,SUPP,2%,SUPP,73%,0%,0%,0%,7%,0%,0%,3%,3%
