RECTYPE,LEA,ESTAB,URN,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE
1,209,6905,135073,AC,196,54,0.17,0.01,0.32,0.48,0.34,0.7
1,209,6906,135070,AC,170,45.4,-0.46,-0.62,-0.29,0.47,0.19,0.51
1,209,6001,141018,IND,,NA,NA,NA,NA,NA,NA,NA
1,209,6409,135901,IND,,NA,NA,NA,NA,NA,NA,NA
1,209,4323,100747,FD,160,43.2,-0.24,-0.42,-0.06,0.36,0.18,0.43
1,209,4646,100750,VA,118,55.6,0.26,0.06,0.46,0.53,0.35,0.67
1,209,5201,135843,FD,103,50.5,0.26,0.05,0.47,0.88,0.3,0.58
1,209,6032,100754,IND,,NA,NA,NA,NA,NA,NA,NA
1,209,6907,135264,AC,154,48.1,0.22,0.04,0.4,0.21,0.08,0.58
1,209,4267,100743,CY,238,41,-0.7,-0.85,-0.55,0.43,0.1,0.42
1,209,6309,100757,IND,,NA,NA,NA,NA,NA,NA,NA
1,209,4204,100741,CY,213,54.5,0.33,0.18,0.48,0.59,0.44,0.72
1,209,4636,100749,VA,110,49.3,-0.25,-0.46,-0.05,0.48,0.25,0.58
2,209,7038,100760,FDS,19,5.9,-1.57,-2.06,-1.08,0,0,0
2,209,7183,136423,CYS,19,1,-1.71,-2.21,-1.2,0,0,0
2,209,7180,100765,CYS,11,NE,NE,NE,NE,NE,NE,NE
4,209,,,,2335,47.3,-0.14,-0.18,-0.09,0.424,0.225,0.559
1,210,6312,100864,IND,,NA,NA,NA,NA,NA,NA,NA
1,210,4001,139718,AC,,,,,,,,
1,210,6912,135584,AC,178,45.4,0.06,-0.12,0.23,0.24,0.19,0.6
1,210,6909,135315,AC,165,48.3,0.01,-0.16,0.17,0.53,0.26,0.56
1,210,6911,135401,AC,176,48.7,-0.47,-0.63,-0.32,0.56,0.19,0.56
1,210,6006,141562,IND,,NA,NA,NA,NA,NA,NA,NA
1,210,4318,136298,ACC,173,56.9,0.32,0.16,0.48,0.5,0.43,0.77
1,210,6905,134222,AC,177,57.3,0.16,0,0.32,0.4,0.27,0.78
1,210,4000,139587,F,,,,,,,,
1,210,6000,100861,IND,,NA,NA,NA,NA,NA,NA,NA
1,210,6394,134573,IND,,NA,NA,NA,NA,NA,NA,NA
