LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
359,3010,106438,10,20,3,9.6,12.3,1.8,21.5,38231
359,3015,106441,11,17,6,10.2,12.2,4.1,20.5,36792
359,3022,140087,12,11,3,10.2,8.5,2.8,18.1,36003
359,3023,106443,11,12,3,11,6.9,2.7,17.5,36803
359,3025,106445,19,26,8,16.8,15.3,7.1,22.7,NA
359,3027,140053,11,12,9,10.1,9.2,5.5,22.7,44696
359,3029,106447,13,19,3,12.8,11.6,3,18.4,32929
359,3030,106448,19,35,6,19,16.9,4.6,21.9,40049
359,3300,106449,9,15,2,8.5,7.6,1.2,25,42665
359,3306,106450,25,43,8,24.1,14,5.3,22.1,35157
359,3308,106451,8,18,2,8,9.5,1.8,26,41018
359,3310,106452,11,20,7,9.1,11.4,5.2,21.4,35578
359,3315,106453,9,16,5,9,7.6,3.3,22.8,37386
359,3326,106459,10,12,2,8.2,6.8,1.5,25.7,NA
359,3329,106460,22,29,4,19.9,20.2,3.4,16.6,35636
359,3331,106461,21,41,7,19,20.7,4.5,22.4,NA
359,3336,106463,23,31,4,20,11.7,2.8,17.5,NA
359,3338,106464,12,15,2,10.6,11.2,1.5,18,36593
359,3350,106465,11,21,5,10.5,11.2,3.5,20.6,39250
359,3357,139883,30,20,7,29.3,10.7,5.9,16.9,34228
359,3358,106468,8,13,1,7.6,8,1,17.7,41623
359,3360,141641,10,17,2,9.7,7.9,1.4,26.1,35744
359,3361,106470,7,10,1,7,5.7,1,18.3,37637
359,3362,106471,10,14,3,10,11.4,2.6,22.3,33605
359,3363,106472,13,14,3,13,9.9,2.1,15.7,33430
359,3364,141644,9,10,NA,8.1,4.8,NA,23.3,36926
359,3366,141643,12,24,6,11.1,12.2,5.4,27.9,37427
359,3367,106476,25,32,12,23.5,15.4,11.6,17.8,39146
359,3370,106478,8,21,3,7.8,10.8,2.1,27.4,36961
359,3373,106481,10,18,3,10,9.1,2.8,20,36934
359,3374,106482,8,14,3,8,7.3,2.8,25.8,38609
359,3376,106484,11,11,4,8.7,5.3,3.4,16.5,35121
359,3377,106485,10,22,4,10,7.5,2.6,21.4,38899
359,3378,106486,11,20,2,8.6,10.7,1.8,25.8,40368
359,3379,106487,9,19,3,9,10.8,2.7,22.7,36076
