LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
929,122327,14,6,5,13.1,3.3,3.7,16.9,34738
929,122328,55,20,30,49.6,11.8,20.6,13.8,38532
929,122329,31,8,4,27.8,4.7,3.6,21.0,36933
929,122334,18,14,4,16.5,7.5,2.0,16.2,32808
929,122335,14,10,3,13.4,6.2,1.4,16.5,37464
929,122338,24,11,3,22.2,7.5,2.8,20.5,38621
929,122340,25,9,2,23.0,6.1,1.7,18.0,36481
929,122341,19,10,4,18.0,5.4,3.2,21.3,37955
929,122345,20,11,7,20.0,8.1,6.2,21.5,32804
929,122346,33,16,8,27.1,10.3,5.3,20.8,34832
929,122347,27,12,6,22.4,7.3,4.0,19.1,37958
929,122348,17,12,6,15.9,5.9,3.7,22.0,36496
929,122349,21,10,3,17.4,6.1,2.5,23.2,34435
929,122350,9,4,3,7.0,2.7,1.5,17.5,38590
929,122351,54,11,21,50.3,6.2,17.3,16.6,41648
929,122352,12,4,4,10.6,2.0,2.5,14.5,39294
929,122353,13,9,3,11.8,5.1,1.8,19.2,35959
929,122354,19,11,3,18.2,6.8,2.5,19.3,37680
929,122355,68,16,28,64.6,11.9,20.9,15.7,36674
929,122356,95,28,25,83.6,16.0,21.8,15.7,39980
929,137457,119,38,36,116.0,30.7,33.2,17.7,34958
929,122358,76,22,23,69.1,11.2,19.4,16.1,40189
929,122360,61,21,18,60.8,15.6,14.9,15.4,38757
929,137598,55,13,21,51.4,7.9,16.2,15.7,36353
929,122362,73,15,25,67.9,9.9,21.0,17.4,39091
929,122363,42,10,10,38.7,6.6,8.8,13.0,37369
929,122364,22,15,5,20.2,7.9,3.7,23.3,41761
929,132189,82,20,28,78.3,14.3,25.0,13.0,36886
929,122365,98,33,29,90.4,22.5,25.8,16.6,37948
929,122366,16,8,2,14.5,4.3,1.5,15.7,35795
929,122367,66,17,26,63.3,12.1,20.8,16.9,39159
929,122368,4,4,1,3.4,1.7,0.9,34.1,SUPP
929,122369,17,12,2,15.4,5.8,1.4,21.0,41657
929,122370,24,9,3,23.6,4.0,1.8,18.9,35245
929,122371,14,7,3,12.7,3.6,1.8,15.9,36611
929,122372,11,7,1,10.0,4.2,0.8,16.2,37161
929,131222,8,5,1,5.4,3.1,0.9,16.3,SUPP
929,122229,4,3,2,2.9,1.2,0.9,17.8,SUPP
929,122374,44,12,19,39.2,7.1,13.6,17.3,42594
929,135619,0,NA,NA,0.0,NA,NA,NA,NA
929,135886,179,153,52,167.2,100.7,42.5,14.4,36682
929,122382,13,22,5,12.5,16.8,4.1,9.4,38174
929,122383,8,9,1,7.0,6.1,0.8,5.7,47828
929,122384,6,27,4,5.7,15.3,3.1,6.7,47911
929,122385,3,22,2,3.0,17.5,1.8,12.5,SUPP
929,122386,15,26,3,13.4,19.1,2.7,4.4,43262
929,122388,9,21,5,8.5,13.9,3.8,6.8,43970
929,122389,14,18,10,12.5,14.5,8.1,8.2,42391
929,122390,0,NA,NA,0.0,NA,NA,NA,NA
929,132771,11,13,4,11.0,10.6,2.6,5.4,43283
931,122967,6,4,9,5.2,3.0,7.0,6.4,32599
931,122968,4,3,6,2.3,1.3,3.7,17.4,SUPP
931,122969,3,3,6,2.8,1.2,4.9,17.9,SUPP
931,122970,4,7,1,3.6,5.9,1.0,11.5,SUPP
931,122972,4,6,8,3.1,5.1,5.4,16.3,SUPP
931,122974,3,4,3,2.3,3.6,1.2,15.2,SUPP
931,122977,2,NA,NA,1.1,NA,NA,19.5,SUPP
931,122979,3,3,4,1.5,1.8,1.5,16.0,SUPP
931,122980,3,1,4,1.3,0.8,2.1,22.8,SUPP
931,122983,3,1,3,1.2,0.9,2.0,24.8,NA
931,122984,1,1,3,1.0,0.3,1.4,25.0,SUPP
931,122991,5,5,2,4.2,2.4,0.6,15.2,SUPP
931,134136,15,26,7,10.6,14.0,3.0,25.6,30034
931,122992,14,17,2,11.2,9.7,1.7,23.3,36029
931,122994,19,11,3,17.2,8.4,1.8,23.1,34095
931,122995,23,18,3,20.4,12.9,2.0,23.0,36335
931,122996,12,15,3,10.3,10.6,2.4,18.6,34354
931,122997,12,17,3,12.0,7.5,2.2,21.2,36965
931,122998,12,11,2,8.1,6.8,1.9,19.4,36276
931,122999,9,15,2,7.6,11.6,1.4,25.0,36790
931,123000,9,9,2,8.5,5.6,1.8,23.6,38726
931,123001,7,10,2,5.0,4.9,0.8,20.6,SUPP
931,123002,8,6,1,5.8,3.1,0.9,17.0,SUPP
931,123003,13,17,3,9.4,9.2,1.4,24.1,37593
931,123004,28,19,6,20.6,8.8,3.1,18.1,33819
931,123005,7,8,2,6.4,3.6,1.4,13.8,35483
931,123006,15,17,3,13.4,10.7,1.7,21.1,33711
931,123007,17,14,2,15.2,7.7,1.4,18.1,32079
931,123008,16,11,4,13.9,6.7,3.0,20.5,31593
931,123009,7,10,5,5.7,4.1,1.6,19.8,35205
931,123010,17,14,2,15.6,7.0,1.9,25.2,33259
931,123011,18,15,6,15.6,7.9,3.2,23.6,37230
931,123012,18,26,5,16.6,9.4,3.8,24.2,36501
931,123013,8,9,2,6.6,4.4,0.9,16.7,31337
931,123014,5,5,5,5.0,2.7,2.0,22.3,35277
931,123015,16,9,3,13.5,4.4,1.7,15.1,35777
931,123016,15,14,2,13.0,8.1,1.0,22.3,34664
931,123017,12,16,3,11.1,7.6,1.3,19.3,34545
931,123018,14,11,3,10.5,6.2,2.7,19.0,40200
931,123019,14,12,3,9.3,5.8,0.9,16.4,37890
931,123020,17,14,6,12.6,7.9,3.0,20.0,39003
931,123021,24,39,3,19.6,20.9,2.7,22.4,32574
931,123022,9,10,NA,7.5,6.3,NA,21.5,27574
931,123023,10,10,1,9.4,5.0,1.0,20.7,34774
931,123025,12,23,4,10.7,8.8,2.1,21.9,37310
931,123027,18,14,4,16.0,10.6,2.1,19.1,32908
931,123028,12,10,4,9.3,5.8,1.9,16.3,31497
931,123029,11,11,7,7.9,5.5,3.3,22.5,29063
931,123030,6,5,2,4.7,2.1,1.1,19.1,33666
931,123031,2,5,2,2.0,2.5,0.8,14.5,SUPP
931,123032,18,20,5,14.8,8.1,2.5,19.7,32699
931,123033,17,17,3,13.8,10.3,2.2,18.3,35016
931,123034,31,37,5,26.4,15.1,4.4,21.3,34165
931,123036,11,11,6,9.6,5.0,3.0,21.7,32647
931,123037,10,9,2,7.1,4.8,1.0,18.6,SUPP
931,123038,19,26,5,15.3,11.2,2.9,25.6,30742
931,123039,3,4,2,2.5,1.6,0.7,14.8,SUPP
931,123040,12,9,2,9.3,5.0,1.1,20.2,32559
931,123041,13,10,4,10.0,5.5,2.3,24.3,40994
931,123042,7,4,2,6.6,2.0,1.1,11.2,38061
931,123044,25,34,8,23.2,21.9,7.1,18.0,32600
931,123045,12,18,5,11.4,10.8,3.4,19.3,33279
931,123046,18,20,8,14.5,14.2,5.7,21.1,33807
931,123047,19,30,6,16.9,14.7,5.2,26.3,33554
931,123048,17,20,4,15.1,13.9,3.4,17.8,34072
931,123049,19,23,7,14.9,17.3,6.8,24.3,29813
931,123050,13,9,5,11.0,4.5,2.8,18.6,34233
931,123051,10,16,3,8.7,10.3,2.5,28.0,33924
931,123052,15,24,3,13.1,16.8,2.5,24.6,35962
931,123053,22,28,6,19.3,20.6,4.5,21.7,33702
931,123057,11,15,4,9.4,7.0,2.0,27.8,38047
931,123059,8,11,1,6.8,6.6,1.0,20.6,32622
931,123060,14,17,4,13.2,7.4,2.6,17.9,32438
931,123061,17,13,3,12.0,6.8,2.1,20.3,35122
931,123062,15,9,6,9.8,3.5,2.2,18.1,36569
931,123063,7,8,1,6.6,4.5,0.8,19.1,34674
931,123064,10,6,2,6.5,3.0,1.0,17.7,33553
931,123065,11,10,4,9.3,5.4,2.5,21.9,39812
931,123067,16,18,5,14.2,11.4,2.7,20.8,35962
931,123068,17,8,4,14.2,5.6,3.4,20.5,34779
931,123069,18,16,1,11.7,10.4,0.8,26.4,36602
931,123070,22,13,7,20.2,9.0,5.2,22.6,33674
931,123071,10,9,4,7.4,5.2,2.2,23.6,35285
931,123072,8,15,2,7.9,8.9,1.0,24.9,36328
931,123073,12,12,2,9.0,5.3,1.6,23.6,40384
931,123074,19,22,4,16.4,17.1,3.3,17.5,31601
931,123075,16,19,8,14.1,11.7,3.4,20.5,33264
931,123076,17,10,6,14.1,4.2,3.3,18.5,30648
