URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
105977,180,160,145,10,0,SUPP,15,0,0,15,5,88%,83%,5%,0%,SUPP,7%,0%,0%,10%,2%
105982,170,150,135,5,5,SUPP,5,0,0,15,10,87%,81%,4%,2%,SUPP,2%,0%,0%,8%,5%
136987,170,140,120,15,SUPP,SUPP,15,0,0,30,5,80%,70%,9%,SUPP,SUPP,10%,0%,0%,17%,3%
133351,150,100,80,10,0,15,5,0,0,30,20,66%,53%,5%,0%,9%,3%,0%,0%,20%,13%
105985,120,100,70,5,0,25,5,0,0,10,5,90%,62%,5%,0%,23%,6%,0%,0%,7%,3%
105986,160,130,105,5,0,15,10,0,0,25,5,81%,69%,3%,0%,9%,8%,0%,0%,15%,4%
131512,100,80,55,5,0,15,10,0,0,15,5,79%,57%,5%,0%,18%,12%,0%,0%,18%,3%
105989,140,130,95,5,0,35,5,0,0,5,SUPP,95%,69%,3%,0%,24%,4%,0%,0%,4%,SUPP
135071,120,90,60,5,20,5,5,0,SUPP,15,10,78%,52%,6%,15%,4%,3%,0%,SUPP,14%,8%
135661,110,100,50,10,30,SUPP,10,0,5,5,5,91%,47%,7%,30%,SUPP,9%,0%,6%,7%,3%
106133,240,220,55,10,5,155,10,0,0,15,5,91%,22%,4%,2%,63%,4%,0%,0%,6%,3%
106134,250,200,105,15,5,75,25,0,SUPP,40,15,79%,42%,7%,1%,30%,10%,0%,SUPP,15%,5%
106135,200,170,60,15,0,95,25,0,0,20,5,86%,30%,7%,0%,49%,12%,0%,0%,11%,3%
106136,230,180,70,15,0,90,25,0,0,35,15,78%,32%,7%,0%,40%,10%,0%,0%,15%,7%
106137,250,210,65,10,SUPP,135,20,0,0,25,5,86%,27%,4%,SUPP,55%,9%,0%,0%,11%,3%
106138,290,260,40,5,0,210,15,0,0,20,10,88%,14%,2%,0%,73%,4%,0%,0%,8%,4%
106139,270,250,35,10,35,165,15,0,0,15,10,90%,13%,4%,13%,61%,6%,0%,0%,5%,4%
106140,260,220,50,10,10,150,15,0,0,35,5,84%,19%,4%,4%,57%,6%,0%,0%,13%,3%
106141,300,260,70,15,20,150,20,0,0,25,15,87%,24%,5%,7%,51%,7%,0%,0%,8%,4%
106142,150,140,35,5,SUPP,100,5,0,0,10,5,91%,22%,3%,SUPP,65%,4%,0%,0%,7%,2%
106143,160,140,20,5,0,115,10,0,0,15,5,87%,12%,4%,0%,71%,7%,0%,0%,10%,3%
106144,120,100,25,5,0,65,10,0,0,15,5,85%,23%,6%,0%,56%,8%,0%,0%,12%,3%
135262,90,70,20,10,25,10,10,0,SUPP,15,10,73%,22%,11%,29%,11%,9%,0%,SUPP,18%,9%
134283,150,120,60,5,SUPP,55,10,0,0,25,10,79%,39%,3%,SUPP,36%,5%,0%,0%,15%,5%
106259,180,140,75,10,0,60,15,0,0,25,10,80%,41%,4%,0%,35%,9%,0%,0%,13%,6%
106266,150,120,25,5,SUPP,85,15,SUPP,0,20,10,79%,16%,5%,SUPP,57%,9%,SUPP,0%,15%,6%
106267,170,150,60,15,0,75,15,0,0,15,5,89%,37%,8%,0%,44%,10%,0%,0%,8%,3%
106268,180,150,85,5,5,55,10,0,0,10,15,86%,49%,4%,3%,30%,6%,0%,0%,6%,8%
106269,170,140,65,5,0,70,10,0,0,20,10,80%,38%,3%,0%,40%,5%,0%,0%,13%,7%
106270,160,130,45,5,0,80,10,0,0,20,5,84%,30%,2%,0%,52%,5%,0%,0%,12%,5%
106271,170,140,45,5,SUPP,90,15,0,0,20,5,85%,27%,3%,SUPP,54%,8%,0%,0%,11%,4%
106272,170,150,40,5,70,35,10,0,SUPP,15,5,89%,23%,4%,41%,21%,6%,0%,SUPP,8%,4%
136273,210,180,55,10,65,45,20,0,0,20,10,84%,26%,5%,31%,22%,10%,0%,0%,10%,5%
137020,170,150,40,10,10,90,15,0,0,15,5,86%,22%,5%,7%,51%,8%,0%,0%,10%,4%
136593,180,160,35,5,20,105,10,0,0,20,5,87%,18%,2%,10%,57%,5%,0%,0%,10%,3%
135508,280,230,95,15,40,85,25,0,SUPP,30,15,83%,34%,5%,14%,30%,10%,0%,SUPP,12%,5%
135864,230,190,90,15,SUPP,90,20,0,0,20,20,83%,39%,6%,SUPP,38%,8%,0%,0%,9%,8%
106363,70,50,35,10,5,SUPP,5,0,0,15,5,67%,49%,12%,4%,SUPP,9%,0%,0%,22%,10%
136965,180,150,100,5,20,20,5,0,SUPP,25,5,81%,55%,2%,12%,11%,2%,0%,SUPP,15%,4%
106365,80,60,45,5,5,SUPP,5,0,0,10,10,76%,58%,9%,6%,SUPP,6%,0%,0%,14%,10%
136378,180,140,75,10,55,5,10,0,SUPP,25,10,81%,43%,5%,30%,2%,6%,0%,SUPP,14%,5%
106367,160,130,100,10,10,10,10,0,0,15,10,85%,65%,6%,6%,8%,7%,0%,0%,9%,6%
106368,120,110,5,0,70,40,0,0,0,SUPP,SUPP,98%,5%,0%,60%,33%,0%,0%,0%,SUPP,SUPP
106370,120,100,60,5,SUPP,40,5,0,0,15,5,82%,47%,3%,SUPP,31%,3%,0%,0%,13%,5%
136498,190,180,20,SUPP,150,10,SUPP,0,0,5,5,95%,11%,SUPP,79%,4%,SUPP,0%,0%,3%,3%
106372,150,120,35,10,15,60,10,0,0,15,10,82%,23%,7%,9%,42%,7%,0%,0%,10%,8%
136377,230,200,90,SUPP,105,5,5,0,0,20,10,87%,39%,SUPP,46%,1%,1%,0%,0%,9%,4%
106374,260,230,115,15,60,35,20,0,SUPP,20,10,88%,44%,6%,24%,13%,9%,0%,SUPP,8%,5%
106375,190,160,105,5,5,45,10,0,0,20,10,84%,53%,4%,3%,24%,5%,0%,0%,10%,6%
106376,150,120,60,5,5,40,5,0,0,20,10,79%,42%,3%,5%,29%,5%,0%,0%,15%,6%
136458,170,160,SUPP,0,155,5,SUPP,0,0,SUPP,SUPP,98%,SUPP,0%,94%,3%,SUPP,0%,0%,SUPP,SUPP
136297,120,120,15,SUPP,105,5,SUPP,0,0,SUPP,SUPP,98%,11%,SUPP,84%,2%,SUPP,0%,0%,SUPP,SUPP
137289,170,160,5,0,145,10,0,0,0,SUPP,5,96%,4%,0%,88%,5%,0%,0%,0%,SUPP,3%
131315,150,150,5,5,120,20,5,0,0,0,SUPP,99%,5%,2%,78%,14%,2%,0%,0%,0%,SUPP
106378,150,150,5,0,125,15,SUPP,0,0,SUPP,SUPP,98%,2%,0%,85%,11%,SUPP,0%,0%,SUPP,SUPP
106521,170,150,70,15,0,65,20,0,0,20,5,86%,40%,8%,0%,37%,10%,0%,0%,10%,4%
106522,130,100,80,10,SUPP,15,5,0,0,20,15,75%,58%,7%,SUPP,10%,4%,0%,0%,13%,11%
106523,210,170,135,10,10,10,10,0,0,25,10,82%,66%,6%,5%,5%,5%,0%,0%,12%,6%
106524,150,130,80,20,5,15,20,0,0,20,10,82%,54%,14%,3%,11%,13%,0%,0%,12%,7%
106525,160,130,80,10,0,40,20,0,0,20,10,80%,49%,6%,0%,25%,11%,0%,0%,12%,7%
137448,250,210,180,10,5,20,15,0,0,35,5,84%,70%,5%,2%,8%,7%,0%,0%,13%,3%
106528,180,150,105,5,0,35,15,0,0,25,15,79%,57%,3%,0%,19%,8%,0%,0%,14%,7%
106529,140,120,70,10,0,40,10,0,0,15,5,87%,50%,7%,0%,30%,9%,0%,0%,10%,3%
106531,250,230,150,15,0,70,30,0,0,15,SUPP,92%,59%,6%,0%,28%,11%,0%,0%,7%,SUPP
106532,160,140,50,15,SUPP,70,25,0,0,15,5,85%,30%,10%,SUPP,44%,17%,0%,0%,10%,4%
106533,230,210,65,10,5,125,20,0,0,20,5,89%,29%,4%,2%,54%,8%,0%,0%,9%,2%
106534,270,260,80,10,95,80,15,0,0,10,SUPP,96%,29%,3%,34%,30%,5%,0%,0%,3%,SUPP
106535,180,160,50,10,0,95,20,0,0,20,5,86%,28%,6%,0%,52%,11%,0%,0%,12%,2%
106537,180,170,40,10,0,125,15,0,0,SUPP,SUPP,98%,22%,5%,0%,71%,8%,0%,0%,SUPP,SUPP
106538,260,240,60,5,160,10,10,0,SUPP,15,10,90%,22%,3%,60%,4%,3%,0%,SUPP,6%,4%
106540,230,210,45,10,SUPP,145,20,0,0,15,5,91%,20%,5%,SUPP,65%,8%,0%,0%,8%,1%
106651,220,190,150,15,30,SUPP,15,0,0,20,10,88%,67%,7%,13%,SUPP,7%,0%,0%,8%,4%
106653,270,240,130,5,95,10,15,0,0,15,15,90%,48%,2%,35%,4%,6%,0%,0%,6%,5%
106654,230,190,145,15,5,20,25,0,0,30,15,80%,62%,7%,2%,9%,11%,0%,0%,12%,7%
106656,230,190,155,15,10,5,20,0,SUPP,20,25,81%,68%,6%,5%,2%,8%,0%,SUPP,8%,11%
135892,250,190,165,15,5,0,25,0,0,35,25,76%,67%,7%,2%,0%,11%,0%,0%,15%,9%
131749,70,50,25,5,25,0,5,0,SUPP,10,5,78%,33%,7%,36%,0%,7%,0%,SUPP,13%,9%
106780,280,220,85,25,110,0,15,0,SUPP,45,15,78%,30%,8%,39%,0%,6%,0%,SUPP,17%,5%
106782,120,90,25,10,50,0,15,0,SUPP,20,10,75%,19%,10%,44%,0%,12%,0%,SUPP,16%,8%
137472,240,190,50,10,125,0,5,0,SUPP,35,15,79%,21%,5%,52%,0%,2%,0%,SUPP,15%,6%
106787,170,140,45,5,75,5,10,0,5,20,20,79%,25%,4%,45%,3%,5%,0%,2%,11%,10%
106788,220,180,90,5,65,15,5,0,SUPP,25,20,79%,41%,3%,28%,6%,3%,0%,SUPP,12%,9%
106789,250,220,60,15,140,SUPP,20,0,0,25,10,86%,25%,6%,55%,SUPP,8%,0%,0%,9%,4%
106791,150,120,65,5,40,10,10,0,SUPP,15,15,78%,43%,3%,26%,6%,7%,0%,SUPP,11%,11%
106795,230,190,50,15,65,55,15,0,SUPP,30,10,82%,21%,8%,28%,25%,6%,0%,SUPP,14%,4%
106802,200,160,35,15,110,0,15,0,SUPP,30,10,81%,18%,7%,55%,0%,8%,0%,SUPP,14%,5%
106808,320,270,80,15,170,SUPP,15,0,0,30,25,83%,25%,4%,53%,SUPP,5%,0%,0%,10%,7%
106810,280,250,55,10,185,5,25,0,0,20,10,90%,20%,4%,65%,1%,8%,0%,0%,7%,3%
136672,180,160,45,5,110,SUPP,5,0,0,10,5,91%,26%,2%,62%,SUPP,2%,0%,0%,7%,3%
135007,210,180,35,15,110,5,20,0,5,25,15,82%,17%,7%,52%,3%,10%,0%,2%,12%,6%
135942,130,100,40,10,25,20,5,0,SUPP,20,15,74%,30%,8%,20%,16%,5%,0%,SUPP,15%,11%
135963,230,180,65,15,95,0,15,0,SUPP,35,15,78%,28%,7%,42%,0%,6%,0%,SUPP,16%,6%
106947,260,200,100,15,10,70,15,0,0,50,10,78%,40%,7%,4%,28%,5%,0%,0%,19%,3%
106949,210,170,60,5,10,95,10,0,0,25,10,82%,28%,3%,5%,45%,4%,0%,0%,13%,5%
106950,310,260,110,15,10,125,15,0,0,35,10,85%,36%,5%,4%,40%,6%,0%,0%,11%,4%
106951,180,140,70,10,0,55,15,0,0,30,10,78%,40%,6%,0%,31%,8%,0%,0%,16%,6%
106953,230,180,100,10,5,65,10,0,0,30,15,80%,43%,5%,3%,29%,5%,0%,0%,14%,7%
106954,290,230,85,10,130,10,15,0,SUPP,40,15,81%,29%,3%,45%,4%,5%,0%,SUPP,13%,6%
106955,300,250,75,15,150,15,15,0,5,30,15,85%,24%,5%,49%,5%,6%,0%,1%,11%,5%
106956,120,80,55,10,5,15,10,0,SUPP,20,15,72%,48%,7%,3%,13%,7%,0%,SUPP,16%,11%
136718,310,270,105,20,125,20,30,0,SUPP,30,15,87%,33%,7%,40%,6%,10%,0%,SUPP,9%,4%
106958,240,200,75,10,100,10,10,0,0,25,20,81%,31%,4%,42%,5%,5%,0%,0%,10%,9%
106959,190,140,55,5,70,5,10,0,5,30,20,75%,30%,4%,36%,4%,5%,0%,2%,16%,9%
136301,240,210,50,20,120,15,20,0,SUPP,15,15,87%,21%,9%,50%,7%,8%,0%,SUPP,7%,7%
136331,250,220,45,10,155,5,10,0,0,15,15,87%,19%,4%,63%,2%,4%,0%,0%,7%,6%
106962,130,120,65,5,30,20,10,0,0,5,SUPP,94%,51%,4%,23%,16%,7%,0%,0%,5%,SUPP
106963,130,110,25,5,20,55,10,0,0,15,5,84%,20%,5%,16%,43%,7%,0%,0%,13%,3%
136042,210,180,65,SUPP,65,45,10,0,SUPP,25,10,84%,31%,SUPP,31%,20%,6%,0%,SUPP,11%,5%
107122,280,210,170,20,15,SUPP,25,0,0,50,20,74%,61%,7%,5%,SUPP,9%,0%,0%,19%,8%
107126,170,130,45,15,5,65,15,0,0,25,10,78%,28%,10%,2%,40%,9%,0%,0%,15%,7%
107128,190,180,35,5,135,5,5,0,0,5,SUPP,95%,18%,2%,72%,4%,2%,0%,0%,4%,SUPP
107129,200,170,55,SUPP,95,15,5,0,0,25,5,86%,27%,SUPP,50%,8%,3%,0%,0%,12%,3%
107131,230,220,45,SUPP,165,5,15,0,SUPP,10,10,93%,19%,SUPP,71%,1%,6%,0%,SUPP,4%,3%
107135,250,210,175,20,5,10,20,0,0,30,15,82%,69%,7%,2%,4%,8%,0%,0%,13%,5%
137400,180,140,70,20,10,45,20,0,0,25,15,78%,39%,11%,4%,24%,11%,0%,0%,15%,7%
107138,250,200,60,25,5,115,20,0,0,35,15,80%,23%,10%,2%,45%,7%,0%,0%,14%,6%
107139,240,220,40,5,170,5,10,0,0,15,5,91%,17%,2%,71%,1%,3%,0%,0%,6%,2%
107140,240,220,50,5,145,20,10,0,SUPP,10,5,94%,22%,3%,61%,8%,4%,0%,SUPP,3%,3%
107141,200,170,110,15,30,10,20,0,0,20,10,85%,57%,8%,16%,4%,9%,0%,0%,10%,5%
107142,350,280,135,25,10,115,25,0,0,45,20,82%,39%,7%,2%,34%,7%,0%,0%,13%,5%
107143,180,150,105,10,30,5,15,0,0,20,10,84%,59%,4%,17%,3%,8%,0%,0%,12%,4%
107144,190,160,65,15,80,5,20,0,0,15,10,87%,34%,8%,43%,3%,10%,0%,0%,9%,4%
107146,240,190,145,15,35,SUPP,20,0,0,35,10,81%,60%,6%,14%,SUPP,8%,0%,0%,14%,5%
107148,190,180,140,20,15,SUPP,20,0,SUPP,15,SUPP,90%,73%,10%,7%,SUPP,10%,0%,SUPP,9%,SUPP
107149,330,300,220,5,70,SUPP,10,0,0,25,5,90%,67%,2%,21%,SUPP,2%,0%,0%,8%,2%
131546,140,120,25,SUPP,20,70,5,0,0,15,10,83%,19%,SUPP,13%,50%,2%,0%,0%,10%,7%
107159,200,180,35,5,140,5,5,0,0,10,5,93%,18%,3%,72%,2%,4%,0%,0%,5%,2%
107160,190,170,60,10,100,10,10,0,0,15,5,89%,30%,4%,51%,4%,5%,0%,0%,8%,3%
131895,210,150,65,15,60,5,10,0,SUPP,40,20,72%,32%,8%,29%,3%,6%,0%,SUPP,19%,9%
131896,180,120,55,15,50,5,10,0,SUPP,35,20,68%,31%,7%,27%,2%,5%,0%,SUPP,19%,13%
135934,140,110,45,10,10,40,5,0,0,30,5,75%,33%,8%,7%,28%,3%,0%,0%,21%,4%
107350,260,190,45,10,130,0,10,0,SUPP,30,40,72%,18%,4%,49%,0%,3%,0%,SUPP,12%,16%
107361,100,90,20,5,60,0,5,0,0,15,5,83%,21%,4%,60%,0%,3%,0%,0%,14%,3%
107366,250,190,45,20,125,SUPP,15,0,SUPP,40,15,78%,19%,7%,51%,SUPP,6%,0%,SUPP,16%,6%
107368,170,150,15,10,125,0,15,0,SUPP,10,10,86%,8%,5%,73%,0%,8%,0%,SUPP,7%,7%
107386,270,220,65,10,150,0,15,0,SUPP,25,20,83%,24%,3%,57%,0%,5%,0%,SUPP,10%,7%
107391,220,170,70,20,75,10,20,0,0,35,10,79%,33%,8%,34%,4%,10%,0%,0%,16%,5%
107395,240,210,70,10,125,SUPP,15,0,5,20,10,87%,29%,4%,52%,SUPP,7%,0%,2%,9%,4%
107413,240,190,25,5,155,0,5,0,SUPP,25,20,81%,11%,3%,67%,0%,1%,0%,SUPP,10%,9%
107414,300,260,50,15,190,0,15,0,5,35,15,85%,17%,4%,63%,0%,5%,0%,1%,11%,4%
132216,150,120,40,5,75,0,SUPP,0,0,15,5,85%,29%,3%,53%,0%,SUPP,0%,0%,11%,4%
132217,180,150,55,5,90,0,10,0,SUPP,15,10,85%,30%,4%,51%,0%,5%,0%,SUPP,9%,6%
136905,260,230,55,10,170,0,15,0,0,15,5,91%,22%,3%,66%,0%,6%,0%,0%,6%,3%
107423,150,140,25,10,95,SUPP,15,0,0,10,10,88%,17%,8%,62%,SUPP,10%,0%,0%,7%,5%
107428,160,130,70,5,55,0,10,0,5,20,10,83%,45%,2%,34%,0%,5%,0%,2%,12%,5%
107429,160,140,30,SUPP,85,20,5,0,0,15,10,86%,20%,SUPP,54%,12%,4%,0%,0%,8%,6%
136962,90,90,5,5,75,0,5,0,0,SUPP,5,95%,6%,6%,83%,0%,4%,0%,0%,SUPP,4%
132219,150,120,55,5,60,0,5,0,SUPP,25,10,77%,36%,2%,38%,0%,5%,0%,SUPP,17%,6%
107439,300,270,70,10,190,0,15,0,0,20,5,91%,24%,3%,64%,0%,5%,0%,0%,7%,2%
107440,300,220,80,15,125,0,15,0,5,40,30,76%,26%,6%,42%,0%,6%,0%,1%,14%,11%
107441,320,250,110,15,125,0,20,0,0,40,25,79%,35%,4%,39%,0%,7%,0%,0%,13%,8%
107442,250,210,80,10,115,SUPP,15,0,0,25,15,84%,32%,5%,47%,SUPP,5%,0%,0%,10%,6%
107443,170,150,50,SUPP,100,0,5,0,SUPP,15,5,88%,28%,SUPP,59%,0%,3%,0%,SUPP,8%,4%
130909,170,160,25,10,120,5,5,0,0,5,SUPP,96%,15%,6%,73%,2%,4%,0%,0%,3%,SUPP
135367,170,120,25,5,85,0,5,0,SUPP,25,20,72%,16%,2%,53%,0%,4%,0%,SUPP,16%,12%
135865,110,70,30,5,25,10,10,0,5,20,10,70%,27%,6%,24%,9%,10%,0%,4%,20%,10%
135866,170,140,45,5,85,0,5,0,0,20,15,79%,25%,3%,51%,0%,2%,0%,0%,12%,9%
107561,110,70,50,SUPP,10,5,5,0,SUPP,25,15,62%,46%,SUPP,8%,4%,4%,0%,SUPP,24%,14%
107562,210,190,45,10,110,20,10,0,SUPP,15,10,89%,21%,4%,52%,10%,6%,0%,SUPP,7%,5%
107563,170,150,40,5,80,20,5,0,5,20,5,85%,23%,2%,46%,11%,4%,0%,4%,11%,4%
107564,130,110,50,5,60,SUPP,10,0,0,20,5,84%,37%,3%,44%,SUPP,6%,0%,0%,13%,2%
107566,160,140,40,SUPP,90,SUPP,5,0,0,15,5,88%,27%,SUPP,58%,SUPP,3%,0%,0%,9%,3%
136788,160,160,SUPP,SUPP,135,20,SUPP,0,0,SUPP,0,99%,SUPP,SUPP,85%,13%,SUPP,0%,0%,SUPP,0%
107575,160,150,10,5,110,25,5,0,SUPP,5,SUPP,96%,5%,2%,71%,17%,2%,0%,SUPP,3%,SUPP
137444,240,220,40,10,115,55,10,SUPP,0,15,5,90%,16%,3%,48%,22%,4%,SUPP,0%,7%,3%
137036,220,180,50,10,105,10,20,0,SUPP,25,15,81%,23%,4%,48%,5%,9%,0%,SUPP,12%,7%
107579,270,230,65,15,135,20,20,0,0,30,10,86%,24%,5%,49%,7%,7%,0%,0%,10%,4%
136604,210,180,35,5,115,25,20,0,5,15,10,87%,16%,3%,55%,12%,10%,0%,1%,8%,5%
107581,150,130,55,5,40,20,10,0,SUPP,15,10,83%,37%,4%,27%,15%,7%,0%,SUPP,11%,5%
107565,240,200,65,15,105,20,20,0,0,25,10,86%,27%,5%,45%,8%,8%,0%,0%,10%,4%
107754,160,140,30,5,0,100,15,0,0,15,10,84%,18%,4%,0%,63%,11%,0%,0%,9%,6%
107755,160,130,55,5,SUPP,75,10,0,0,20,5,83%,33%,2%,SUPP,48%,5%,0%,0%,14%,3%
107756,70,60,30,5,0,20,5,0,SUPP,10,5,81%,44%,4%,0%,31%,6%,0%,SUPP,13%,6%
107757,260,240,40,5,SUPP,185,15,0,0,20,5,91%,16%,3%,SUPP,72%,7%,0%,0%,7%,1%
107758,160,130,55,5,0,65,15,0,0,20,5,82%,36%,4%,0%,42%,9%,0%,0%,13%,4%
137500,160,150,60,SUPP,SUPP,85,5,0,0,15,SUPP,90%,36%,SUPP,SUPP,52%,2%,0%,0%,9%,SUPP
107761,140,110,40,5,SUPP,60,10,0,0,20,5,81%,30%,5%,SUPP,45%,9%,0%,0%,15%,4%
107763,260,240,70,10,0,160,20,0,0,10,5,95%,28%,4%,0%,63%,7%,0%,0%,3%,2%
136674,200,170,45,5,95,20,15,0,SUPP,20,15,83%,23%,3%,48%,9%,7%,0%,SUPP,10%,6%
107766,270,230,100,15,SUPP,120,25,0,0,30,5,87%,37%,6%,SUPP,44%,9%,0%,0%,11%,3%
107767,110,80,40,5,20,20,5,0,SUPP,15,15,74%,35%,3%,18%,16%,5%,0%,SUPP,13%,14%
107769,250,230,55,15,0,165,25,0,0,10,10,92%,22%,5%,0%,64%,10%,0%,0%,4%,5%
137424,170,140,20,5,105,10,10,0,SUPP,15,15,84%,11%,4%,61%,7%,6%,0%,SUPP,8%,8%
137352,330,290,65,15,140,65,30,0,SUPP,30,10,88%,20%,5%,43%,20%,9%,0%,SUPP,9%,3%
107775,170,130,60,10,30,35,15,0,0,20,15,81%,37%,5%,18%,21%,8%,0%,0%,12%,8%
107776,170,130,80,10,25,20,15,0,SUPP,30,10,76%,46%,5%,14%,11%,10%,0%,SUPP,17%,6%
107777,120,90,45,5,15,20,5,0,0,25,5,75%,40%,3%,14%,19%,5%,0%,0%,20%,4%
107778,170,140,75,10,15,30,15,0,SUPP,25,10,80%,45%,6%,10%,19%,9%,0%,SUPP,13%,7%
107780,360,300,145,30,35,90,40,0,SUPP,40,25,81%,40%,8%,9%,24%,11%,0%,SUPP,11%,7%
107782,170,150,50,5,5,90,15,0,0,20,5,86%,29%,4%,2%,52%,8%,0%,0%,11%,2%
107783,190,170,45,10,100,10,15,0,SUPP,15,10,88%,23%,6%,53%,6%,7%,0%,SUPP,8%,4%
137399,160,150,45,10,40,55,10,0,0,10,SUPP,91%,28%,5%,25%,34%,6%,0%,0%,7%,SUPP
136283,160,160,SUPP,5,150,10,5,0,0,SUPP,SUPP,98%,SUPP,2%,90%,5%,2%,0%,0%,SUPP,SUPP
108055,280,220,70,15,125,5,15,SUPP,5,45,10,80%,26%,5%,45%,3%,5%,SUPP,1%,16%,4%
108056,110,90,45,5,15,20,5,0,0,20,10,76%,39%,6%,14%,18%,4%,0%,0%,17%,7%
108057,180,160,35,5,110,5,10,0,0,15,10,88%,20%,3%,62%,3%,7%,0%,0%,8%,4%
108058,300,250,65,15,140,35,10,0,0,40,10,84%,21%,5%,46%,12%,3%,0%,0%,13%,4%
108059,130,100,45,15,20,20,5,0,0,20,10,76%,33%,10%,16%,16%,5%,0%,0%,16%,7%
108063,170,130,50,5,70,5,10,0,SUPP,25,15,77%,29%,4%,41%,2%,7%,0%,SUPP,15%,8%
108064,220,190,70,25,90,5,20,0,SUPP,15,10,87%,32%,11%,41%,2%,10%,0%,SUPP,8%,5%
108065,200,150,95,15,5,30,10,SUPP,0,35,20,74%,47%,7%,3%,15%,5%,SUPP,0%,16%,10%
108075,180,140,20,5,100,15,5,0,0,30,10,78%,12%,3%,55%,9%,2%,0%,0%,16%,5%
108076,240,220,55,5,150,5,5,0,0,20,SUPP,91%,24%,1%,63%,3%,3%,0%,0%,8%,SUPP
136392,250,200,55,5,135,10,10,0,0,30,15,82%,22%,2%,54%,4%,4%,0%,0%,11%,6%
108079,190,170,70,5,85,10,15,0,SUPP,15,5,89%,37%,2%,45%,4%,7%,0%,SUPP,9%,2%
108080,240,190,90,10,70,15,10,0,5,35,10,81%,38%,4%,30%,5%,5%,0%,3%,15%,4%
108081,230,190,70,15,70,25,15,0,SUPP,25,15,82%,32%,7%,32%,11%,8%,0%,SUPP,11%,7%
137383,300,250,95,15,130,10,10,0,0,30,15,84%,33%,4%,44%,3%,3%,0%,0%,11%,6%
108083,230,190,55,10,120,5,10,0,SUPP,30,15,81%,23%,4%,52%,1%,5%,0%,SUPP,13%,6%
108084,200,170,50,15,75,25,15,0,SUPP,25,15,81%,24%,7%,38%,11%,8%,0%,SUPP,12%,7%
108085,220,200,45,10,135,SUPP,10,0,SUPP,15,10,89%,21%,5%,62%,SUPP,5%,0%,SUPP,7%,4%
108086,260,190,65,20,90,15,25,0,SUPP,45,25,73%,25%,8%,35%,5%,9%,0%,SUPP,17%,10%
108087,200,170,50,15,100,5,20,0,SUPP,15,15,85%,24%,7%,50%,3%,9%,0%,SUPP,8%,6%
108088,170,150,35,5,110,SUPP,5,0,0,10,5,89%,21%,2%,65%,SUPP,2%,0%,0%,7%,4%
136343,320,290,40,20,225,SUPP,20,0,0,20,10,90%,13%,6%,71%,SUPP,7%,0%,0%,7%,3%
108090,240,180,70,20,85,5,20,0,0,45,20,75%,29%,8%,35%,2%,8%,0%,0%,18%,7%
108091,300,260,55,15,180,5,20,0,SUPP,30,15,85%,19%,5%,59%,2%,7%,0%,SUPP,10%,4%
108092,230,210,55,15,130,10,15,0,SUPP,15,10,91%,24%,6%,57%,4%,6%,0%,SUPP,6%,3%
108093,220,200,35,10,155,5,15,0,0,15,5,91%,15%,4%,70%,2%,6%,0%,0%,6%,3%
108094,190,180,25,SUPP,145,5,5,0,0,10,5,92%,14%,SUPP,75%,2%,4%,0%,0%,5%,3%
108095,180,150,25,5,5,115,5,0,0,20,5,84%,13%,2%,4%,65%,2%,0%,0%,13%,3%
108096,180,140,55,5,5,80,10,0,0,25,10,79%,30%,4%,2%,43%,6%,0%,0%,15%,6%
108097,180,140,55,10,5,75,10,0,0,20,15,79%,30%,6%,2%,42%,5%,0%,0%,12%,8%
135551,360,260,135,25,85,15,15,0,0,60,35,72%,37%,7%,24%,4%,4%,0%,0%,17%,10%
137083,200,190,40,10,110,25,10,0,0,10,5,93%,19%,6%,55%,13%,4%,0%,0%,4%,3%
131898,160,110,45,10,55,SUPP,10,0,SUPP,35,15,70%,28%,8%,33%,SUPP,5%,0%,SUPP,21%,9%
135935,160,120,35,5,75,5,5,0,SUPP,25,10,77%,22%,4%,47%,3%,2%,0%,SUPP,16%,7%
135969,210,150,60,20,60,10,15,0,5,30,25,75%,30%,9%,29%,5%,6%,0%,2%,14%,12%
108271,310,250,115,20,15,105,25,0,0,35,25,82%,37%,7%,5%,33%,7%,0%,0%,11%,7%
136394,110,70,45,5,5,15,5,0,0,25,15,66%,43%,3%,4%,16%,5%,0%,0%,22%,12%
136633,250,190,65,10,20,105,15,0,0,35,20,78%,26%,4%,8%,41%,7%,0%,0%,14%,8%
108274,280,230,45,15,150,15,25,0,5,40,15,80%,16%,5%,52%,5%,8%,0%,2%,14%,6%
108275,210,170,50,5,10,110,10,0,0,25,15,82%,23%,2%,4%,53%,4%,0%,0%,11%,7%
136462,270,230,75,10,130,5,20,0,0,20,20,84%,28%,4%,49%,3%,8%,0%,0%,8%,8%
136613,210,130,60,10,5,55,15,0,0,45,35,62%,29%,4%,3%,25%,7%,0%,0%,23%,16%
108279,170,130,50,10,SUPP,65,10,0,0,20,25,74%,30%,5%,SUPP,38%,7%,0%,0%,12%,14%
108280,200,170,80,10,40,35,10,0,0,20,15,82%,40%,4%,21%,16%,6%,0%,0%,11%,7%
