URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
118904,170,160,30,5,125,0,5,0,0,5,5,94%,18%,2%,74%,0%,4%,0%,0%,2%,4%
136286,270,230,70,5,155,0,10,0,0,20,15,86%,26%,2%,58%,0%,3%,0%,0%,8%,6%
118907,180,160,55,0,105,0,SUPP,0,0,10,10,87%,30%,0%,58%,0%,SUPP,0%,0%,6%,7%
118909,170,160,20,5,135,SUPP,5,0,0,5,5,94%,10%,3%,80%,SUPP,2%,0%,0%,3%,3%
118910,200,160,110,10,40,0,5,0,0,25,10,81%,56%,5%,21%,0%,3%,0%,0%,13%,6%
136847,240,200,85,5,110,SUPP,5,0,0,10,25,85%,36%,3%,46%,SUPP,3%,0%,0%,5%,10%
118912,150,130,60,5,65,0,10,0,SUPP,10,10,88%,39%,4%,45%,0%,6%,0%,SUPP,6%,6%
136417,150,140,5,0,135,0,SUPP,0,0,SUPP,10,93%,3%,0%,90%,0%,SUPP,0%,0%,SUPP,6%
137474,120,120,15,SUPP,100,0,0,0,0,SUPP,5,96%,13%,SUPP,83%,0%,0%,0%,0%,SUPP,3%
118918,160,150,45,SUPP,100,0,5,0,SUPP,10,5,90%,28%,SUPP,61%,0%,3%,0%,SUPP,6%,4%
118919,200,150,75,5,65,0,5,0,0,10,45,73%,38%,2%,32%,0%,3%,0%,0%,6%,21%
136465,260,210,85,5,115,0,10,0,0,35,20,79%,33%,2%,44%,0%,3%,0%,0%,13%,8%
136570,130,120,5,SUPP,115,0,SUPP,0,SUPP,5,SUPP,97%,4%,SUPP,91%,0%,SUPP,0%,SUPP,2%,SUPP
137104,190,170,50,0,120,SUPP,5,0,0,15,10,87%,25%,0%,61%,SUPP,2%,0%,0%,8%,5%
118924,230,190,70,5,115,0,10,0,SUPP,25,15,83%,30%,2%,51%,0%,4%,0%,SUPP,11%,6%
136349,160,140,45,0,90,SUPP,5,0,0,15,10,86%,28%,0%,57%,SUPP,3%,0%,0%,8%,6%
118928,170,150,60,5,85,0,5,0,SUPP,5,15,87%,35%,2%,49%,0%,4%,0%,SUPP,4%,9%
118930,240,210,65,SUPP,135,0,SUPP,0,SUPP,20,15,86%,27%,SUPP,58%,0%,SUPP,0%,SUPP,8%,6%
118931,100,90,10,SUPP,80,0,0,0,0,10,SUPP,89%,10%,SUPP,79%,0%,0%,0%,0%,9%,SUPP
136585,160,150,15,0,135,0,0,0,0,5,5,94%,8%,0%,86%,0%,0%,0%,0%,4%,2%
118933,180,160,35,SUPP,120,SUPP,5,0,SUPP,10,5,91%,21%,SUPP,68%,SUPP,2%,0%,SUPP,6%,3%
136382,120,110,15,SUPP,95,0,5,0,SUPP,5,SUPP,96%,12%,SUPP,82%,0%,3%,0%,SUPP,3%,SUPP
136317,240,200,95,5,95,0,15,0,5,25,15,83%,40%,3%,39%,0%,6%,0%,1%,10%,7%
136603,230,210,25,SUPP,185,0,5,0,0,5,5,95%,11%,SUPP,83%,0%,1%,0%,0%,3%,2%
137099,150,150,5,0,140,0,0,0,0,SUPP,SUPP,98%,4%,0%,95%,0%,0%,0%,0%,SUPP,SUPP
137458,230,190,70,5,115,0,5,0,0,20,20,84%,31%,3%,50%,0%,3%,0%,0%,8%,8%
