"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
136261,123252,"Oxford School","Parent","01-01-2011"
136266,110875,"Arthur Mellows Village College","Parent","01-09-2010"
136267,102863,"The Chadwell Heath Foundation School","Parent","01-09-2010"
136268,118091,"Tollbar Business and Enterprise College","Parent","01-09-2010"
136269,111798,"St Buryan Primary School","Parent","01-09-2010"
136270,135158,"Woodgrove Primary School","Parent","01-09-2010"
136271,124810,"Hartismere High School","Parent","01-09-2010"
136272,115317,"Westcliff High School for Boys","Parent","01-09-2010"
136273,106273,"Audenshaw School","Parent","01-09-2010"
136274,122725,"Barnby Road Primary and Nursery School","Parent","01-09-2010"
136275,110262,"Eaton Mill Primary School","Parent","01-09-2010"
136276,117573,"Watford Grammar School for Boys","Parent","01-09-2010"
136277,118095,"Healing School, A Specialist Science and Foundation College","Parent","01-09-2010"
136278,111464,"Fallibroome High School","Parent","01-09-2010"
136279,111439,"Brine Leas High School","Parent","02-09-2010"
136280,113062,"Broadclyst Community Primary School","Parent","01-09-2010"
136281,101672,"Kemnal Technology College","Parent","01-09-2010"
136282,120719,"The Giles School","Parent","01-09-2010"
136283,107785,"Heckmondwike Grammar School","Parent","01-09-2010"
136284,102018,"Cuckoo Hall Primary School","Parent","01-09-2010"
136285,112139,"Seaton Infant School","Parent","01-09-2010"
136286,118906,"The Westlands School","Parent","01-09-2010"
136287,113560,"Uffculme School","Parent","01-09-2010"
136288,100635,"Durand Primary School","Parent","01-09-2010"
136289,117575,"Watford Grammar School for Girls","Parent","01-09-2010"
136290,101358,"Queen Elizabeth's School, Barnet","Parent","01-09-2010"
136291,122903,"George Spencer Foundation School and Technology College","Parent","01-09-2010"
136292,115761,"The Cotswold School","Parent","06-09-2010"
136293,126282,"Goddard Park Community Primary School","Parent","22-09-2010"
136294,123868,"Huish Episcopi Science College","Parent","02-09-2010"
136295,123870,"Holyrood Community School","Parent","01-09-2010"
136296,126509,"Hardenhuish School","Parent","01-09-2010"
136297,106369,"Urmston Grammar School","Parent","01-09-2010"
136298,131812,"The Charter School","Parent","01-09-2010"
136299,122117,"Northampton School for Boys","Parent","01-09-2010"
136300,118825,"Castle Community College","Parent","01-10-2010"
136301,106960,"Brinsworth Comprehensive School","Parent","01-10-2010"
136302,118893,"The Canterbury High School","Parent","07-10-2010"
136303,104256,"Park Hall Infant School","Parent","01-10-2010"
136304,118786,"Swanley Technology College","Parent","01-11-2010"
136305,118802,"Highsted Grammar School","Parent","01-10-2010"
136306,115717,"Sir Thomas Rich's School","Parent","01-10-2010"
136307,110044,"Highdown School and Sixth Form Centre","Parent","01-11-2010"
136308,101363,"Ashmole School","Parent","01-10-2010"
136309,100844,"Kingsdale Foundation School","Parent","01-11-2010"
136310,104109,"Tudor Grange School","Parent","01-10-2010"
136311,109307,"Somervale School","Parent","01-10-2010"
136312,111886,"Trenance Infant School","Parent","01-11-2010"
136313,118917,"The Rochester Grammar School","Parent","01-11-2010"
136314,115246,"The Westborough Primary School and Nursery","Parent","01-10-2010"
136315,120697,"Queen Elizabeth's Grammar School","Parent","01-10-2010"
136316,124532,"Forest Community Primary School","Parent","01-11-2010"
136317,118935,"Sandwich Technology School","Parent","01-11-2010"
136318,111904,"Sandy Hill Community Primary School","Parent","01-11-2010"
136319,109683,"Denbigh High School","Parent","01-11-2010"
136320,104096,"St Patricks CofE (Aided) Junior and Infant School","Parent","01-11-2010"
136321,113556,"Torquay Boys' Grammar School","Parent","01-11-2010"
136322,124852,"Samuel Ward Arts and Technology College","Parent","01-11-2010"
136323,124394,"John Taylor High School","Parent","01-11-2010"
136324,118886,"Fulston Manor School","Parent","01-10-2010"
136325,115303,"R A Butler Infant School","Parent","01-11-2010"
136326,107872,"Garforth Green Lane Primary School","Parent","01-11-2010"
136327,102044,"Kingsmead School","Parent","01-10-2010"
136328,115304,"R A Butler Junior School","Parent","01-11-2010"
136329,131928,"Guru Nanak Sikh Voluntary Aided Secondary School","Parent","01-11-2010"
136329,131927,"Guru Nanak Sikh Primary School","Parent","01-09-2012"
136330,101468,"Erith School","Parent","01-10-2010"
136331,106961,"Wales High School","Parent","01-10-2010"
136332,110891,"Crosshall Infant School","Parent","01-10-2010"
136333,104111,"Arden School","Parent","01-10-2010"
136334,101479,"Beths Grammar School","Parent","01-10-2010"
136335,109301,"Norton Hill School","Parent","01-10-2010"
136336,113541,"Ivybridge Community College","Parent","01-11-2010"
136337,118798,"Fort Pitt Grammar School","Parent","01-11-2010"
136338,125039,"Cleves School","Parent","01-11-2010"
136339,110892,"Crosshall Junior School","Parent","01-10-2010"
136340,111406,"Sandbach High School and Sixth Form College","Parent","01-11-2010"
136341,102538,"Lampton School","Parent","01-10-2010"
136342,115331,"King Harold School","Parent","01-11-2010"
136343,108089,"Garforth Community College","Parent","01-11-2010"
136344,118569,"The Canterbury Primary School","Parent","07-10-2010"
136345,109528,"Lark Rise Lower School","Parent","01-10-2010"
136347,104120,"The Archbishop Grimshaw Catholic School","Parent","01-01-2011"
136348,108520,"Gosforth Junior High School","Parent","01-12-2010"
136349,118927,"The Hayesbrook School","Parent","01-12-2010"
136350,120702,"Caistor Grammar School","Parent","01-12-2010"
136351,118570,"Meopham Community Primary School","Parent","01-12-2010"
136352,108523,"Gosforth High School","Parent","01-12-2010"
136353,115754,"Pate's Grammar School","Parent","01-12-2010"
136354,135669,"Bourne Abbey Church of England Primary School","Parent","01-12-2010"
136355,101658,"Darrick Wood School","Parent","01-12-2010"
136356,134044,"Martham Foundation Primary School and Nursery","Parent","01-12-2010"
136357,112438,"Queen Elizabeth School","Parent","01-12-2010"
136358,120714,"Branston Community College","Parent","01-12-2010"
136359,118878,"Dartford Grammar School","Parent","01-12-2010"
136360,112987,"Chellaston School","Parent","01-12-2010"
136361,122846,"Redhill School","Parent","01-12-2010"
136362,103056,"Roger Ascham Primary School","Parent","01-01-2011"
136364,103037,"Yardley Primary School","Parent","01-01-2011"
136365,119144,"Hambleton Primary School","Parent","01-01-2011"
136366,113555,"Colyton Grammar School","Parent","01-01-2011"
136367,113521,"Kingsbridge Community College","Parent","01-01-2011"
136368,113903,"Parkstone Grammar School","Parent","01-01-2011"
136369,101462,"Bexley Grammar School","Parent","01-01-2011"
136374,116747,"Wigmore Primary School","Parent","01-01-2011"
136375,107504,"Greetland Primary School","Parent","01-01-2011"
136376,106287,"Park Road Primary School","Parent","01-01-2011"
136377,106373,"Wellington School","Parent","01-01-2011"
