"Group UID","Group ID","Group Name","Companies House Number","Group Type (code)","Group Type","Closed Date","Group Status (code)","Group Status","Group Contact Street","Group Contact Locality","Group Contact Address 3","Group Contact Town","Group Contact County","Group Contact Postcode","Head of Group Title","Head of Group First Name","Head of Group Last Name"
"1108","","South West Academic Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1109","","Southampton Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1110","","St Paul's Way Foundation","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1111","","Stoke Damerel Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1112","","Stoke Park School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1113","","Stour Education Trust (SET)","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1114","","The Academies Enterprise Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1115","","The Activate Trust Hereford","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1116","","The Arnewood Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1117","","The Ashington Learning Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1118","","The Barkestone Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1119","","The Biddenham International Campus","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1120","","The Brixham Learning Campus and Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1121","","The Calday Grange Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1122","","The Campsmount Community Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1123","","The Buxton School Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1124","","The Canterbury High School and Beauherne Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1125","","The Cedars Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1126","","The Central Norwich Foundation Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1127","","The Central Technology and Sports College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1128","TR02582","The Hermitage School","08811135","10","Single-academy trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1129","","The Chiswick Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1130","","The City of Cambridge Education Foundation","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1131","","The City of Portsmouth Boys' Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1132","","The Copland Learning Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1133","","The Don Valley School & Performing Arts Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1134","","The Duston School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1135","","The EWO Community School Group","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1136","","The Ferrers Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1137","","The Fiveways Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1138","","The Folkestone School for Girls Trust Limited","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1139","","The Futures Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1140","","The Gleed Girls' Technology College & South Holland Post 16 Centre","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1141","","The Halesowen Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1142","","The Harlington Area Schools Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1144","","The Henry Morris Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1145","","The Herefordshire Learning Disability Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1146","","The Howard Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1147","","The Hundred of Hoo School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1148","","The Innovation Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1149","","The Kemnal Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1150","","The Kempston Education Trust (KET)","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1151","","The Kenilworth Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1152","","The King Richard School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1153","","The Kingswood Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1154","","The Lakeside Learning Village Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1155","","The Learning Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1156","","The Local Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1157","","The Loughborough Learning Trust","","02","Trust","","OPEN","Open","Thorpe HIll","","","Loughborough","Not recorded","LE11 4SQ","Not recorded","Guy","Higgins"
